stars,comment
3.0 out of 5 stars,"Very dense and wordy. I thought the formatting was weird and hard to distinguish quickly at a glance what was introducing or motivating a new topic vs the worked examples for that section. Needed more distinct separation imo. Content wise it was adequate and the examples were good and diverse, however I am certain there are better introductory probability texts.
            "
2.0 out of 5 stars,"The instructions and proofs are way too blurry.
            "
5.0 out of 5 stars,"Ignore the negative reviews. This IS the best textbook in the market for an introduction to probability for math undergraduates. Why? Glad you asked.1. Coverage of topics. It shows that the authors are also top researchers in the field. The theorems, examples, and exercises are chosen with a purpose. They know what's important to make advances in modern probability and what's old-fashioned. They are building a solid foundation on which students can develop more advanced probability.2. Rigor. Theorems and proofs are presented with adequate rigor. They explain as much as possible and present possible pitfalls (such as measure theoretic details) and hint at how to solve them.3. Probabilistic ideas. The proofs are presented with probabilistic ideas. I suspect this is the primary reason why some students find it difficult. They have never been exposed to probabilistic way of thinking. But this is what the textbook is supposed to train them. And it does it flawlessly.4. Statistical ideas. The book has plenty of statistics in it, for example, discussion on p-values. This is great. Plenty of probability concepts can be best communicated through statistical questions. If you have math and stat students in your class, they both get a lot out of it.I am so grateful to the authors for writing this textbook. This is miles ahead of any other textbook I have seen. We have adopted this book for our undergrad probability sequence successfully.
            "
1.0 out of 5 stars,"This is not the book you want to use to study for your class even though it is used for your class.The definitions, theorems or even examples are not really helpful to get an idea about the topics covered.Unlike many other good math textbooks, you will not get a clear understanding about the whole topics covered and will be more confused after reading. It's explanations are horrible and more confusing with vague symbols and letters. Professors find it hard to understand. Hilarious how it is for the basic Introductory and is so difficult to understand.The authors did terrible job with wording and sentence fluency so that it is understandable to them only but not to any others
            "
5.0 out of 5 stars,"I used a draft version of this book while in Prof. Seppalainen's class. This book writes an equation and then translates it into English. In a way, this book is why I can say I understood probability theory or math in general. It also got me over the notion that theoretical math isn't fun; it converted an engineer into a mathematician.I sincerely recommend this book! The examples were engaging and well-explained, and wherever there was an unintuitive step taken, it was expanded upon immediately after. I read this book cover to cover, and I thoroughly enjoyed every page, which I cannot say about any other textbook.
            "
stars,comment
5.0 out of 5 stars,"I wanted a small device that played my music and that I could carry around with me in the house or outside in the garden. I was looking at devices that cost almost $200.00 and at the last minute changed my mind after I spoke with a friend who recommended I get a Bluetooth compatible device. So I went on Amazon and began looking for such a product when I saw OontZ Angle 3 product with, get this, 35,000 reviews.........that's not a typo...35,000 reviews. OK that was amazing but then I saw the price $25.99. I thought that MUST be a mistake! I also thought how good could this product be for $25.99 but I also thought if that many people liked this item then I should order it and see. WOW, I loved it and after 4 days ordered ANOTHER for my wife with the Blue color (it comes in 5 colors). The sound is wonderful with a lovely bass, I can be up to 100 feet and still have a Bluetooth connection, it is so simple to use has twin speakers and is less than 6 inches long. Cambridge Products has hit a grand slam with this product and its price point. Go out and buy it...................its that good.
            "
5.0 out of 5 stars,"Just opened the box - When it comes to quality sound from small speakers I am very skeptical. Distortion and flat sound is typical from tiny speakers - well I have been proven wrong - today's technology is truly amazing. After several months of research into bluetooth portable speakers I finally pulled the trigger on this awesome speaker from Cambridge Soundworks and my mind, and ears - are just blown away.The Oontz 3 is a small 12 hour battery or wall powered Bluetooth stereo speaker with AMAZING CLARITY and BASS - even played at high volume there is NO DISTORTION  - simply fills the room and crystal clear sound - you can answer phone calls, use direct AUX in and even take it into the shower with you.. it's water resistant.I am so pleasantly surprised with free shipping costing under $30 on Amazon it's worth every dime. The quality is incredible for the price !I highly recommend you check it out - I've already ordered the next version Oontz 3 PLUS which is larger, plays for 30 hours and has all the same great features!
            "
5.0 out of 5 stars,"Any speaker at this size is way too small to give you REAL BASS, instead look for a speaker that is Loud. I noticed all small speakers sort of dim down the volume when the base hits & is probably becase they run on battery & there's not enough power to keep that constance bass. Save your money & get the OontZ Angle 3 Enhanced.If you must have some unreal-bass then look at all of the ones below except #1,8,9 from the list below:I purchased all of this speakers:1. OontZ Angle 3 Enhanced Stereo Edition IPX5 Splashproof Portable Bluetooth Speaker2. OontZ Angle 3 Ultra3. OontZ Angle 3 PLUS4. Anker SoundCore 24-Hour Playtime Bluetooth Speaker with Loud 10W Stereo Sound5. Anker SoundCore 2 Portable Bluetooth Speaker with Better Bass, 24-Hour Playtime6. Anker SoundCore Boost 20W Bluetooth Speaker with BassUp Technology7. AOMAIS Sport II Portable Wireless Bluetooth Speakers 4.0 Waterproof IPX7, 20W Bass Sound8. AOMAIS SURF Touch Bluetooth Speakers9. Modern Portable HiFi Micro Best Wireless Bluetooth Speakers10. Rockville APM8C 8"" 2-Way 500W Active/Powered USB Studio Monitor Speakers Pair(None battery powered)If you really want a portable speaker with good BASS just get the Aiwa Exos-9.This is in regards to speakers between $15 & $35
            "
5.0 out of 5 stars,"This is my second Oontz. I bought one for a small TV in my kitchen last year and returned this year to buy one for the small 19” TV I just added in my basement. This little guy packs a big punch and is a great value for the price.  I am not a crazy audiophile here to pick apart every aspect of this unit.  All I can say is that for the purposes of my application...just boosting the volume from a small TV...this is AWESOME!
            "
3.0 out of 5 stars,"I bought this speaker for my workshop to listen to book tapes and music while working. The sound quality is very good. The Anker speaker I previously bought is also good, but I felt it had too much base and speech on it was hard to understand. The Angle 3 has a crisp sound that makes speech easy to understand. I also bought the zipper case to hold the Angle 3 and protect it from dust while not in use. Overall I would recommend this for anyone looking for a small bluetooth speaker. I have not used the speaker long enough for the battery to need recharging so I cannot comment on how long it lasts, but I have used it for over four hours with no problems.
            "
3.0 out of 5 stars,"Purchased this speaker to play music during work. We stream background music in the office, low volume. This speaker's sound is somewhat tinny with very little bass at low volume.  It sounds better as you crank it up but even then doesn't provide the richness of some other portable speakers.  I've played it both bluetooth and accessory cord and both sound equivalent.  I do love its size and ease of use. It paired with both my phone and laptop flawlessly. Volume controls are simple and functional. Charging is easy and the battery life at low volume is easily 10+ hours. And, importantly, its sized to fit in my briefcase as I travel to different offices.  Still, I was hoping for a better sound quality.  I listened to another speaker, longer but narrower, that had a much richer sound and frequency response. It also cost about twice as much as this Oontz 3.Spend a little more, get a fair bit more. Probably worth it if you listen a lot.
            "
